path,category_guess,lines,includes,gl_calls,gl_raw_refs,gl_call_exprs,gl_known_false_refs,gGL,LLGL,LLRender,LLPipeline,LLDrawPool,LLRenderTarget,LLImageGL,LLViewerTexture,LLViewerWindow
indra/newview/lljoystickbutton.cpp,render.opengl_touching,1129,13,0,0,0,0,32,2,2,0,0,0,0,0,0
indra/newview/llmanip.cpp,render.opengl_touching,663,27,0,0,0,0,31,1,5,0,0,0,0,0,0
indra/newview/llmediactrl.cpp,render.opengl_touching,1312,33,0,0,0,0,30,0,1,0,0,0,0,0,0
indra/llappearance/llavatarjoint.cpp,world.avatar,316,5,0,0,0,0,30,0,1,0,0,0,0,0,0
indra/newview/llsceneview.cpp,render.opengl_touching,436,9,0,0,0,0,29,0,8,0,0,0,0,0,0
indra/newview/lldrawpoolalpha.cpp,render.pipeline,1291,26,0,0,0,0,28,31,28,21,51,0,0,0,0
indra/newview/llscenemonitor.cpp,render.pipeline,765,18,0,0,0,0,26,14,0,10,0,8,0,0,0
indra/newview/llviewerparceloverlay.cpp,render.pipeline,845,21,0,0,0,0,23,4,4,1,0,0,0,0,0
indra/llui/llfloater.cpp,ui,3797,32,0,0,0,0,23,1,1,0,0,0,0,0,0
indra/newview/llheroprobemanager.cpp,render.pipeline,662,17,0,0,0,0,22,6,3,5,0,2,0,0,0
indra/newview/lltoolbrush.cpp,render.opengl_touching,722,26,0,0,0,0,22,1,2,0,0,0,0,0,0
indra/newview/lldrawpool.cpp,render.draw_pool,920,28,0,0,0,0,21,13,11,0,49,0,0,3,0
indra/llrender/llfontgl.cpp,render.legacy_low_level,1424,18,0,0,0,0,21,0,5,0,0,0,1,0,0
indra/newview/llhudeffectblob.cpp,render.opengl_touching,106,5,0,0,0,0,19,1,1,0,0,0,0,0,0
indra/newview/llfloatermodelpreview.cpp,ui,2124,37,0,0,0,0,17,0,1,0,0,0,0,0,0
indra/newview/animationexplorer.cpp,render.opengl_touching,564,24,0,0,0,0,17,0,1,0,0,0,0,0,0
indra/newview/llhudeffectlookat.cpp,render.opengl_touching,827,23,0,0,0,0,16,4,2,0,0,0,0,0,0
indra/newview/llhudicon.cpp,assets.texture,354,10,0,0,0,0,16,3,1,0,0,0,0,1,0
indra/llui/llstatbar.cpp,render.opengl_touching,723,13,0,0,0,0,16,1,1,0,0,0,0,0,0
indra/newview/llbox.cpp,render.opengl_touching,132,4,0,0,0,0,16,0,1,0,0,0,0,0,0
indra/newview/llface.cpp,render.pipeline,2643,31,0,0,0,0,15,22,38,5,3,0,0,14,0
indra/newview/llterrainpaintmap.cpp,assets.texture,288,13,0,0,0,0,15,11,4,0,0,1,0,2,0
indra/newview/maretaaupscaler.cpp,render.opengl_touching,182,12,0,0,0,0,15,7,2,0,0,4,0,0,0
indra/newview/qtoolalign.cpp,render.opengl_touching,572,14,0,0,0,0,15,4,2,0,0,0,0,0,0
indra/newview/llhudeffectpointat.cpp,render.opengl_touching,524,18,0,0,0,0,15,4,1,0,0,0,0,0,0
indra/newview/RRInterface.cpp,render.pipeline,6996,75,0,0,0,0,14,9,1,15,3,0,0,1,0
indra/llui/llview.cpp,render.opengl_touching,2959,25,0,0,0,0,14,0,2,0,0,0,0,0,0
indra/llrender/llrendertarget.cpp,render.legacy_low_level,675,5,0,0,0,0,12,29,0,0,0,42,11,0,0
indra/llrender/llglslshader.cpp,render.legacy_low_level,2093,12,0,0,0,0,11,292,1,0,0,2,0,0,0
indra/newview/lldrawpoolmaterials.cpp,render.draw_pool,291,7,0,0,0,0,11,8,3,0,9,0,0,0,0
indra/newview/llprogressview.cpp,assets.texture,713,25,0,0,0,0,11,1,0,0,0,0,0,1,0
indra/llui/llbadge.cpp,render.opengl_touching,390,5,0,0,0,0,10,0,2,0,0,0,0,0,0
indra/newview/llcylinder.cpp,render.opengl_touching,74,9,0,0,0,0,10,0,2,0,0,0,0,0,0
indra/newview/marenisupscaler.cpp,render.opengl_touching,135,9,0,0,0,0,9,4,2,0,0,8,0,0,0
indra/newview/llviewerjointattachment.cpp,render.pipeline,720,20,0,0,0,0,9,1,1,3,0,0,0,0,0
indra/llrender/llrendersphere.cpp,render.legacy_low_level,130,6,0,0,0,0,9,1,2,0,0,0,0,0,0
indra/llrender/llfontvertexbuffer.cpp,render.legacy_low_level,240,3,0,0,0,0,9,0,1,0,0,0,0,0,0
indra/newview/llhudrender.cpp,render.opengl_touching,136,12,0,0,0,0,9,0,4,0,0,0,0,0,0
indra/llappearance/lltexlayerparams.cpp,render.opengl_touching,599,11,0,0,0,0,8,1,3,0,0,0,0,0,0
indra/llui/llviewborder.cpp,render.opengl_touching,271,6,0,0,0,0,8,0,0,0,0,0,0,0,0
indra/newview/llagent.cpp,render.pipeline,5766,73,0,0,0,0,7,0,1,1,0,0,0,0,0
indra/llui/llmenugl.cpp,render.opengl_touching,4422,20,0,0,0,0,7,0,0,0,0,0,0,0,0
indra/newview/lltextureview.cpp,assets.texture,1077,30,0,0,0,0,6,16,0,0,0,2,3,2,0
indra/newview/lldrawpoolsimple.cpp,render.pipeline,228,14,0,0,0,0,6,10,3,4,18,0,0,0,0
indra/newview/llhudeffectbeam.cpp,render.opengl_touching,354,13,0,0,0,0,6,1,0,0,0,0,0,0,0
indra/llui/lltabcontainer.cpp,render.opengl_touching,2205,14,0,0,0,0,6,0,0,0,0,0,0,0,0
indra/newview/llscrollingpanelparam.cpp,render.opengl_touching,354,13,0,0,0,0,6,0,0,0,0,0,0,0,0
indra/llrender/llrendernavprim.cpp,render.legacy_low_level,60,6,0,0,0,0,6,0,1,0,0,0,0,0,0
indra/newview/llviewercamera.cpp,render.opengl_touching,995,25,0,0,0,0,5,6,2,0,0,0,0,0,0
indra/newview/lldrawpoolwater.cpp,render.pipeline,339,22,0,0,0,0,5,4,1,1,19,3,0,3,0
indra/llui/lltextbase.cpp,render.opengl_touching,4485,20,0,0,0,0,5,0,0,0,0,0,0,0,0
indra/newview/lltoolselectrect.cpp,render.opengl_touching,207,12,0,0,0,0,5,0,0,0,0,0,0,0,0
indra/newview/lldynamictexture.cpp,render.pipeline,350,15,0,0,0,0,4,8,0,4,0,8,0,3,0
indra/llui/llbutton.cpp,render.opengl_touching,1434,23,0,0,0,0,4,0,5,0,0,0,0,0,0
indra/llui/llscrollbar.cpp,render.opengl_touching,667,14,0,0,0,0,4,0,4,0,0,0,0,0,0
indra/newview/marefsr2upscaler.cpp,render.opengl_touching,401,14,0,0,0,0,3,76,1,0,0,4,0,0,0
indra/newview/llviewertexture.cpp,render.pipeline,4096,34,0,0,0,0,3,39,27,1,0,0,17,134,0
indra/newview/llfloaterauction.cpp,ui,560,29,0,0,0,0,3,1,0,0,0,0,0,1,0
indra/newview/llfloatersnapshot.cpp,ui,1531,16,0,0,0,0,3,0,1,0,0,0,0,0,0
indra/newview/piemenu.cpp,render.opengl_touching,606,6,0,0,0,0,3,0,0,0,0,0,0,0,0
indra/newview/llcolorswatch.cpp,render.opengl_touching,377,12,0,0,0,0,3,0,0,0,0,0,0,0,0
indra/llui/llstatgraph.cpp,render.opengl_touching,235,9,0,0,0,0,3,0,0,0,0,0,0,0,0
indra/newview/llgltfmaterialpreviewmgr.cpp,render.pipeline,660,16,0,0,0,0,2,50,1,7,0,4,0,4,0
indra/llrender/llrender.h,render.legacy_low_level,576,12,0,0,0,0,2,40,8,0,0,2,4,0,0
indra/newview/llvosky.cpp,render.pipeline,1600,26,0,0,0,0,2,11,6,7,11,0,0,2,0
indra/newview/llviewerjoint.cpp,render.pipeline,174,9,0,0,0,0,2,6,0,2,0,0,0,0,0
indra/newview/llhudtext.cpp,render.opengl_touching,719,22,0,0,0,0,2,6,0,0,0,0,0,0,0
